dba,boro,building,street,zipcode,cuisine_description,violation_description,critical_flag,score,grade,grade_date,record_date
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10,A,2024-11-08T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,10,A,2024-11-08T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,2024-11-08T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,2023-08-22T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,12,A,2023-08-22T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,"Pesticide not properly labeled or used by unlicensed individual. Pesticide, other toxic chemical improperly used/stored. Unprotected, unlocked bait station used.",Not Critical,12,A,2023-08-22T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,13,P,2023-02-03T00:00:00.000,2025-05-07T06:00:15.000
MORRIS PARK BAKE SHOP,Bronx,1007,MORRIS PARK AVENUE,10462.0,Bakery Products/Desserts,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,P,2023-02-03T00:00:00.000,2025-05-07T06:00:15.000
D.J. REYNOLDS,Manhattan,351,WEST   57 STREET,10019.0,Irish,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10,A,2025-02-20T00:00:00.000,2025-05-07T06:00:15.000
D.J. REYNOLDS,Manhattan,351,WEST   57 STREET,10019.0,Irish,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,2025-02-20T00:00:00.000,2025-05-07T06:00:15.000
D.J. REYNOLDS,Manhattan,351,WEST   57 STREET,10019.0,Irish,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,10,A,2023-04-23T00:00:00.000,2025-05-07T06:00:15.000
D.J. REYNOLDS,Manhattan,351,WEST   57 STREET,10019.0,Irish,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,10,A,2023-04-23T00:00:00.000,2025-05-07T06:00:15.000
RIVIERA CATERERS,Brooklyn,2780,STILLWELL AVENUE,11224.0,American,,Not Applicable,0,A,2024-04-16T00:00:00.000,2025-05-07T06:00:15.000
RIVIERA CATERERS,Brooklyn,2780,STILLWELL AVENUE,11224.0,American,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,7,A,2022-02-01T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,12,A,2025-01-06T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,12,A,2025-01-06T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,"After cooking or removal from hot holding, TCS food not cooled by an approved method whereby the internal temperature is reduced from 140 °F to 70 °F or less within 2  hours, and from 70 °F to 41 °F or less within 4 additional hours.",Critical,27,B,2024-04-23T00:00:00.000,2025-05-07T06:00:15.000
WILKEN'S FINE FOOD,Brooklyn,7114,AVENUE U,11234.0,Sandwiches,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,B,2024-04-23T00:00:00.000,2025-05-07T06:00:15.000
